,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
127582,Phan Thiet,31,25,20,ENE,0.0,62,20,1014,2010-01-12,Trung,Nắng
127583,Phan Thiet,30,22,8,ENE,2.0,76,35,1009,2011-01-12,Trung,Nắng
127584,Phan Thiet,30,23,19,NE,0.2,76,31,1011,2012-01-12,Trung,Nắng
127585,Phan Thiet,31,22,10,ENE,0.0,69,11,1012,2013-01-12,Trung,Nắng
127586,Phan Thiet,30,23,15,ENE,0.0,73,34,1013,2014-01-12,Trung,Nắng
127587,Phan Thiet,31,23,14,NE,0.0,68,16,1012,2015-01-12,Trung,Nắng
127588,Phan Thiet,32,23,14,ENE,0.0,74,9,1013,2016-01-12,Trung,Nắng
127589,Phan Thiet,33,23,5,S,0.0,77,20,1009,2017-01-12,Trung,Nắng
127590,Phan Thiet,31,21,22,NE,0.0,62,9,1013,2018-01-12,Trung,Nắng
127591,Phan Thiet,31,24,20,ENE,0.0,66,27,1013,2019-01-12,Trung,Nắng
127592,Phan Thiet,29,22,13,ENE,0.1,76,36,1010,2020-01-12,Trung,Gió
127593,Phan Thiet,27,21,20,ENE,0.0,69,7,1012,2021-01-12,Trung,Lạnh
127594,Phan Thiet,30,21,12,ENE,0.0,65,4,1012,2009-01-21,Trung,Nắng
127595,Phan Thiet,29,22,12,ENE,0.0,80,23,1013,2010-01-21,Trung,Gió
127596,Phan Thiet,30,22,8,S,1.1,79,45,1010,2011-01-21,Trung,Nắng
127597,Phan Thiet,30,21,12,ENE,0.0,69,11,1009,2012-01-21,Trung,Nắng
127598,Phan Thiet,31,22,15,ENE,0.0,71,16,1014,2013-01-21,Trung,Nắng
127599,Phan Thiet,27,19,13,NE,0.0,68,29,1015,2014-01-21,Trung,Lạnh
127600,Phan Thiet,29,18,11,ENE,0.0,72,5,1017,2015-01-21,Trung,Lạnh
127601,Phan Thiet,32,22,15,ENE,0.0,70,1,1013,2016-01-21,Trung,Nắng
127602,Phan Thiet,31,23,19,ENE,0.5,67,34,1014,2017-01-21,Trung,Nắng
127603,Phan Thiet,32,23,14,ENE,0.0,67,38,1009,2018-01-21,Trung,Nắng
127604,Phan Thiet,31,23,15,ENE,0.0,68,20,1013,2019-01-21,Trung,Nắng
127605,Phan Thiet,30,21,20,ENE,0.0,66,13,1014,2020-01-21,Trung,Nắng
127606,Phan Thiet,28,22,6,WSW,0.0,77,43,1010,2021-01-21,Trung,Gió
127607,Phan Thiet,30,23,12,NE,0.0,68,31,1011,2009-01-22,Trung,Nắng
127608,Phan Thiet,29,23,17,ENE,0.1,76,17,1014,2010-01-22,Trung,Gió
127609,Phan Thiet,30,22,13,NE,0.0,75,26,1011,2011-01-22,Trung,Nắng
127610,Phan Thiet,30,20,12,ENE,0.0,72,5,1010,2012-01-22,Trung,Nắng
127611,Phan Thiet,31,23,15,ENE,0.0,72,14,1014,2013-01-22,Trung,Nắng
127612,Phan Thiet,28,18,15,NE,0.0,61,12,1015,2014-01-22,Trung,Lạnh
127613,Phan Thiet,30,18,14,ENE,0.0,72,15,1017,2015-01-22,Trung,Nắng
127614,Phan Thiet,33,22,13,ENE,0.0,71,2,1013,2016-01-22,Trung,Nắng
127615,Phan Thiet,31,22,20,NE,0.1,64,31,1015,2017-01-22,Trung,Nắng
127616,Phan Thiet,32,24,14,ENE,0.0,69,50,1008,2018-01-22,Trung,Nắng
127617,Phan Thiet,30,23,19,ENE,0.0,67,25,1014,2019-01-22,Trung,Nắng
127618,Phan Thiet,30,21,22,ENE,0.0,74,10,1014,2020-01-22,Trung,Nắng
127619,Phan Thiet,27,23,7,S,2.4,81,52,1010,2021-01-22,Trung,Mây
127620,Phan Thiet,27,24,20,ENE,0.0,73,43,1012,2009-01-24,Trung,Gió
127621,Phan Thiet,30,23,17,ENE,0.0,70,13,1014,2010-01-24,Trung,Nắng
127622,Phan Thiet,29,23,17,NE,1.3,70,24,1012,2011-01-24,Trung,Gió
127623,Phan Thiet,30,22,12,ENE,0.0,74,4,1010,2012-01-24,Trung,Nắng
127624,Phan Thiet,30,21,13,ENE,0.0,73,14,1013,2013-01-24,Trung,Nắng
127625,Phan Thiet,29,19,9,ENE,0.0,70,4,1014,2014-01-24,Trung,Lạnh
127626,Phan Thiet,29,16,12,ENE,0.0,71,0,1015,2015-01-24,Trung,Lạnh
127627,Phan Thiet,32,24,23,ENE,0.0,62,13,1016,2016-01-24,Trung,Nắng
127628,Phan Thiet,32,22,16,ENE,0.3,67,35,1014,2017-01-24,Trung,Nắng
127629,Phan Thiet,32,23,19,ENE,0.0,72,11,1008,2018-01-24,Trung,Nắng
127630,Phan Thiet,30,20,17,ENE,0.0,65,2,1014,2019-01-24,Trung,Nắng
127631,Phan Thiet,30,20,19,ENE,0.0,70,3,1013,2020-01-24,Trung,Nắng
127632,Phan Thiet,27,22,11,ENE,1.8,80,43,1012,2021-01-24,Trung,Gió
127634,Phan Thiet,28,23,13,ENE,1.0,71,60,1011,2009-01-23,Trung,Gió
127635,Phan Thiet,30,23,17,ENE,0.0,73,8,1014,2010-01-23,Trung,Nắng
127636,Phan Thiet,30,23,14,ENE,1.2,76,35,1012,2011-01-23,Trung,Nắng
127637,Phan Thiet,30,21,13,ENE,0.0,70,7,1010,2012-01-23,Trung,Nắng
127638,Phan Thiet,30,22,15,ENE,0.0,73,13,1013,2013-01-23,Trung,Nắng
127639,Phan Thiet,28,18,12,NE,0.0,63,7,1015,2014-01-23,Trung,Lạnh
127640,Phan Thiet,29,17,14,ENE,0.0,71,3,1015,2015-01-23,Trung,Lạnh
127641,Phan Thiet,33,23,18,ENE,0.0,71,2,1014,2016-01-23,Trung,Nắng
127642,Phan Thiet,32,22,17,NE,0.0,61,23,1014,2017-01-23,Trung,Nắng
127643,Phan Thiet,31,23,19,ENE,0.0,73,25,1009,2018-01-23,Trung,Nắng
127644,Phan Thiet,30,21,19,ENE,0.0,66,8,1014,2019-01-23,Trung,Nắng
127656,Phan Thiet,30,20,19,ENE,0.0,71,1,1012,2020-01-23,Trung,Nắng
127657,Phan Thiet,26,23,5,SSW,4.4,87,50,1011,2021-01-23,Trung,Khác
127658,Phan Thiet,29,24,21,NE,0.0,68,28,1013,2009-01-25,Trung,Gió
127659,Phan Thiet,29,24,18,ENE,0.1,72,26,1014,2010-01-25,Trung,Gió
127660,Phan Thiet,31,22,16,NE,1.6,67,36,1012,2011-01-25,Trung,Nắng
